city,total_jobs,core_digital_jobs,expanded_digital_jobs,core_digital_share,expanded_digital_share
BOKN,2,0,0,0.0,0.0
BORGEN,2,0,0,0.0,0.0
BORGENHAUGEN,7,0,0,0.0,0.0
BORGUND,1,0,0,0.0,0.0
BORKENES,5,0,0,0.0,0.0
BORRE,2,2,2,1.0,1.0
BOSBERG,1,0,0,0.0,0.0
BRASKEREIDFOSS,1,0,0,0.0,0.0
BRATLAND,1,0,0,0.0,0.0
BRATTHOLMEN,2,0,0,0.0,0.0
BRATTVÅG,3,0,0,0.0,0.0
BREISTEIN,9,0,0,0.0,0.0
BREIVIKBOTN,2,0,0,0.0,0.0
BREKKE,2,0,0,0.0,0.0
BREKKEBYGD,1,0,0,0.0,0.0
BREKSTAD,6,0,0,0.0,0.0
BREMNES,5,0,0,0.0,0.0
BREVIK,3,0,0,0.0,0.0
BRUMUNDDAL,23,1,2,0.043478260869565216,0.08695652173913043
BRYGGJA,1,0,0,0.0,0.0
BRYNE,20,0,2,0.0,0.1
BRØNNØYSUND,14,2,2,0.14285714285714285,0.14285714285714285
BYGLAND,2,1,1,0.5,0.5
BYGSTAD,1,0,0,0.0,0.0
BYKLE,1,0,0,0.0,0.0
BYRKNESØY,2,0,0,0.0,0.0
BÅTSFJORD,3,0,0,0.0,0.0
BÆRUMS VERK,2,0,0,0.0,0.0
BØ I TELEMARK,9,1,1,0.1111111111111111,0.1111111111111111
BØNES,5,0,1,0.0,0.2
BØRSA,4,0,0,0.0,0.0
CHARLOTTENLUND,1,0,0,0.0,0.0
DAL,5,0,0,0.0,0.0
DALE I SUNNFJORD,1,0,0,0.0,0.0
DALEKVAM,4,0,0,0.0,0.0
DALEN,4,2,2,0.5,0.5
DALSØYRA,3,0,0,0.0,0.0
DIGERMULEN,1,0,0,0.0,0.0
DILLING,3,0,0,0.0,0.0
DOKKA,7,0,0,0.0,0.0
DOMBÅS,2,0,0,0.0,0.0
DRAG,4,0,1,0.0,0.25
DRAMMEN,119,10,21,0.08403361344537816,0.17647058823529413
DRANGEDAL,1,0,0,0.0,0.0
DREVSJØ,1,0,0,0.0,0.0
DRØBAK,12,1,1,0.08333333333333333,0.08333333333333333
DVERBERG,2,0,0,0.0,0.0
DØNNA,1,0,0,0.0,0.0
EGERSUND,12,0,1,0.0,0.08333333333333333
EIDE,2,1,1,0.5,0.5
EIDFJORD,1,0,0,0.0,0.0
EIDSBERG,1,0,0,0.0,0.0
EIDSDAL,2,0,0,0.0,0.0
EIDSNES,1,0,0,0.0,0.0
EIDSVOLL,7,1,1,0.14285714285714285,0.14285714285714285
EIDSVOLL VERK,5,0,0,0.0,0.0
EIDSVÅG I ROMSDAL,1,0,0,0.0,0.0
EIDSVÅG I ÅSANE,6,1,1,0.16666666666666666,0.16666666666666666
EIDSVÅGNESET,1,0,0,0.0,0.0
EIKEN,3,1,1,0.3333333333333333,0.3333333333333333
EIKSMARKA,1,0,0,0.0,0.0
ELLINGSØY,2,0,0,0.0,0.0
ELNESVÅGEN,5,0,0,0.0,0.0
ELVERUM,30,0,3,0.0,0.1
ENEBAKK,4,0,0,0.0,0.0
ENGAVÅGEN,7,0,0,0.0,0.0
ENGELØYA,1,0,0,0.0,0.0
ENGERDAL,1,0,0,0.0,0.0
ERDAL,1,0,0,0.0,0.0
ETNEDAL,2,0,0,0.0,0.0
EVENES,9,1,1,0.1111111111111111,0.1111111111111111
EVENSKJER,3,1,1,0.3333333333333333,0.3333333333333333
EVJE,8,0,0,0.0,0.0
FAGERNES,9,0,0,0.0,0.0
FANA,2,0,0,0.0,0.0
FANNREM,7,0,0,0.0,0.0
FARSTAD,4,0,0,0.0,0.0
FARSUND,8,0,0,0.0,0.0
FAUSKE,25,2,2,0.08,0.08
FETSUND,5,1,2,0.2,0.4
FIGGJO,1,0,0,0.0,0.0
FINNEIDFJORD,2,0,0,0.0,0.0
FINNSNES,22,1,1,0.045454545454545456,0.045454545454545456
FINNØY,2,0,0,0.0,0.0
FINSTADJORDET,2,0,0,0.0,0.0
FITJAR,2,0,0,0.0,0.0
FJELL,1,0,0,0.0,0.0
FJELLHAMAR,8,0,1,0.0,0.125
FJERDINGBY,8,0,0,0.0,0.0
FLAKTVEIT,1,0,0,0.0,0.0
FLATEBY,2,0,0,0.0,0.0
FLATÅSEN,1,0,0,0.0,0.0
FLEKKE,1,0,1,0.0,1.0
FLEKKEFJORD,11,0,0,0.0,0.0
FLISA,1,0,0,0.0,0.0
FLORVÅG,2,0,0,0.0,0.0
FLORØ,10,0,0,0.0,0.0
FLÅ,4,0,1,0.0,0.25
FLÅM,1,0,0,0.0,0.0
FOLLDAL,1,0,0,0.0,0.0
FOLLESE,3,0,0,0.0,0.0
FORNEBU,42,14,17,0.3333333333333333,0.40476190476190477
FOSNAVÅG,8,0,0,0.0,0.0
FOSSDAL,1,0,0,0.0,0.0
FREDRIKSTAD,47,0,2,0.0,0.0425531914893617
FREI,1,0,0,0.0,0.0
FREKHAUG,4,0,0,0.0,0.0
FROGNER,6,0,0,0.0,0.0
FROLAND,3,0,0,0.0,0.0
FROSTA,2,0,1,0.0,0.5
FURNES,4,0,1,0.0,0.25
FUSA,1,0,1,0.0,1.0
FYLLINGSDALEN,27,0,0,0.0,0.0
FYRESDAL,1,0,0,0.0,0.0
FÅBERG,4,2,2,0.5,0.5
FÅVANG,7,0,0,0.0,0.0
FÆRVIK,1,0,0,0.0,0.0
FØRDE,45,3,6,0.06666666666666667,0.13333333333333333
FØRDE I HORDALAND,1,0,0,0.0,0.0
GAMLE FREDRIKSTAD,9,0,1,0.0,0.1111111111111111
GARDERMOEN,22,2,2,0.09090909090909091,0.09090909090909091
GAUPEN,1,0,0,0.0,0.0
GAUPNE,1,0,0,0.0,0.0
GEILO,3,0,0,0.0,0.0
GEITHUS,1,0,0,0.0,0.0
GJERDRUM,4,0,1,0.0,0.25
GJERSTAD,4,0,0,0.0,0.0
GJETTUM,12,0,0,0.0,0.0
GJØLME,2,0,0,0.0,0.0
GJØVIK,47,4,8,0.0851063829787234,0.1702127659574468
GLOMFJORD,8,3,3,0.375,0.375
GODVIK,14,0,0,0.0,0.0
GOL,7,0,0,0.0,0.0
GRAN,7,0,0,0.0,0.0
GRATANGEN,1,0,0,0.0,0.0
GRAVDAL,4,0,0,0.0,0.0
GRESSVIK,9,0,0,0.0,0.0
GREÅKER,6,0,0,0.0,0.0
GRIMSTAD,27,7,8,0.25925925925925924,0.2962962962962963
GRINDER,1,0,0,0.0,0.0
GRONG,2,0,0,0.0,0.0
GROVFJORD,1,0,0,0.0,0.0
GRÅLUM,30,0,1,0.0,0.03333333333333333
GURSKEN,1,0,0,0.0,0.0
GURSKØY,2,0,0,0.0,0.0
HAFRSFJORD,11,1,1,0.09090909090909091,0.09090909090909091
HAFSLUNDSØY,1,0,0,0.0,0.0
HAGAN,4,1,1,0.25,0.25
HAGAVIK,1,0,1,0.0,1.0
HAKADAL,3,0,0,0.0,0.0
HALDEN,31,4,4,0.12903225806451613,0.12903225806451613
HALLINGBY,1,0,0,0.0,0.0
HALSA,1,0,0,0.0,0.0
HAMAR,64,6,7,0.09375,0.109375
HAMARVIK,1,0,0,0.0,0.0
HAMARØY,2,0,0,0.0,0.0
HAMMERFEST,44,3,3,0.06818181818181818,0.06818181818181818
HANSNES,4,0,0,0.0,0.0
HARDBAKKE,2,0,0,0.0,0.0
HAREID,4,0,2,0.0,0.5
HARSTAD,52,6,9,0.11538461538461539,0.17307692307692307
HARØY,1,0,1,0.0,1.0
HASLUM,2,0,0,0.0,0.0
HASVIK,2,0,0,0.0,0.0
HATTFJELLDAL,1,0,0,0.0,0.0
HAUGE I DALANE,4,0,0,0.0,0.0
HAUGESUND,101,8,12,0.07920792079207921,0.1188118811881188
HAUGLANDSHELLA,2,0,0,0.0,0.0
HAUKELAND,1,0,0,0.0,0.0
HAUS,2,0,0,0.0,0.0
HAVØYSUND,3,0,0,0.0,0.0
HEDALEN,1,0,0,0.0,0.0
HEGGEDAL,1,0,0,0.0,0.0
HEGGENES,4,0,0,0.0,0.0
HEIMDAL,12,0,0,0.0,0.0
HELGEROA,1,0,0,0.0,0.0
HELLELAND,1,0,0,0.0,0.0
HELLEVIK I FJALER,1,0,0,0.0,0.0
HELLVIK,1,0,0,0.0,0.0
HEMNESBERGET,1,0,0,0.0,0.0
HEMSEDAL,1,0,0,0.0,0.0
HENNINGSVÆR,3,0,0,0.0,0.0
HERDLA,2,0,0,0.0,0.0
HERNES,2,0,0,0.0,0.0
HERVIK,1,0,0,0.0,0.0
HERØY,3,0,0,0.0,0.0
HESSENG,5,0,0,0.0,0.0
HIS,1,0,0,0.0,0.0
HITRA,4,0,0,0.0,0.0
HJELLESTAD,1,0,0,0.0,0.0
HJELMELAND,2,0,0,0.0,0.0
HJELMÅS,1,0,0,0.0,0.0
HJELSET,6,0,1,0.0,0.16666666666666666
HJERKINN,2,0,0,0.0,0.0
HJØRUNGAVÅG,1,0,0,0.0,0.0
HOBØL,1,0,0,0.0,0.0
HOF,1,0,0,0.0,0.0
HOKKSUND,7,0,0,0.0,0.0
HOL,4,0,0,0.0,0.0
HOLMESTRAND,13,0,0,0.0,0.0
HOLMSBU,1,0,0,0.0,0.0
HOLUM,1,0,0,0.0,0.0
HOMMELVIK,8,1,1,0.125,0.125
HOMMERSÅK,6,0,0,0.0,0.0
HONNINGSVÅG,7,0,0,0.0,0.0
HORDVIK,7,0,1,0.0,0.14285714285714285
HORNINDAL,2,0,0,0.0,0.0
HORTEN,22,3,5,0.13636363636363635,0.22727272727272727
HOSLE,7,0,0,0.0,0.0
HOV,12,0,0,0.0,0.0
HOVDEBYGDA,3,0,0,0.0,0.0
HOVDEN I SETESDAL,5,0,0,0.0,0.0
HOVET,1,0,0,0.0,0.0
HUNDVÅG,8,0,0,0.0,0.0
HUNNDALEN,4,0,1,0.0,0.25
HURDAL,3,0,0,0.0,0.0
HUSNES,8,0,0,0.0,0.0
HVAM,3,0,0,0.0,0.0
HVITTINGFOSS,1,0,0,0.0,0.0
HYLKJE,4,0,0,0.0,0.0
HYLLESTAD,1,0,0,0.0,0.0
HÅVIK,3,0,0,0.0,0.0
HØLEN,1,0,0,0.0,0.0
HØNEFOSS,36,5,6,0.1388888888888889,0.16666666666666666
HØVIK,8,1,1,0.125,0.125
HØYANGER,3,0,0,0.0,0.0
ILSENG,1,0,0,0.0,0.0
INDERØY,9,0,0,0.0,0.0
INDRE ARNA,2,0,0,0.0,0.0
INGEBERG,4,0,1,0.0,0.25
INNDYR,4,0,0,0.0,0.0
ISDALSTØ,12,0,0,0.0,0.0
ISE,1,0,0,0.0,0.0
JAR,5,0,0,0.0,0.0
JAREN,16,3,3,0.1875,0.1875
JELSA,2,0,0,0.0,0.0
JESSHEIM,43,2,5,0.046511627906976744,0.11627906976744186
JEVNAKER,7,0,0,0.0,0.0
JONDAL,3,0,0,0.0,0.0
JØRPELAND,3,0,0,0.0,0.0
JØSENFJORDEN,1,0,0,0.0,0.0
KABELVÅG,4,0,0,0.0,0.0
KALANDSEIDET,1,0,0,0.0,0.0
KALVÅG,1,0,0,0.0,0.0
KARASJOK,9,0,0,0.0,0.0
KARLSTAD,1,0,0,0.0,0.0
KARMSUND,9,0,0,0.0,0.0
KAUPANGER,1,0,0,0.0,0.0
KAUTOKEINO,5,1,1,0.2,0.2
KIRKENES,29,2,3,0.06896551724137931,0.10344827586206896
KIRKENÆR,2,0,0,0.0,0.0
KJELLER,41,9,12,0.21951219512195122,0.2926829268292683
KJERSTAD,2,0,0,0.0,0.0
KJEVIK,2,0,0,0.0,0.0
KJØLLEFJORD,3,0,0,0.0,0.0
KJØLSDALEN,1,0,1,0.0,1.0
KLEPP STASJON,15,0,1,0.0,0.06666666666666667
KLEPPE,10,0,0,0.0,0.0
KLEPPESTØ,10,0,0,0.0,0.0
KLOKKARSTUA,1,0,0,0.0,0.0
KLÆBU,5,1,1,0.2,0.2
KLØFTA,6,0,0,0.0,0.0
KNARREVIK,3,0,0,0.0,0.0
KODAL,1,0,0,0.0,0.0
KOKSTAD,20,4,5,0.2,0.25
KOLBOTN,7,0,0,0.0,0.0
KOLBU,1,0,0,0.0,0.0
KOLLTVEIT,1,0,0,0.0,0.0
KOLSÅS,20,4,7,0.2,0.35
KOLVEREID,11,0,0,0.0,0.0
KONGSBERG,141,46,73,0.3262411347517731,0.5177304964539007
KONGSVINGER,35,1,4,0.02857142857142857,0.11428571428571428
KOPERVIK,11,0,1,0.0,0.09090909090909091
KORGEN,1,0,0,0.0,0.0
KRAGERØ,4,0,0,0.0,0.0
KRISTIANSAND S,128,8,15,0.0625,0.1171875
KRISTIANSUND N,26,2,2,0.07692307692307693,0.07692307692307693
KROKELVDALEN,2,0,0,0.0,0.0
KROKKLEIVA,2,0,0,0.0,0.0
KROKSTADELVA,2,0,0,0.0,0.0
KRÅKERØY,12,1,1,0.08333333333333333,0.08333333333333333
KVALSUND,1,0,0,0.0,0.0
KVALØYA,6,0,0,0.0,0.0
KVALØYSLETTA,5,0,0,0.0,0.0
KVANNE,1,0,0,0.0,0.0
KVERNALAND,1,0,0,0.0,0.0
KVERVA,1,0,0,0.0,0.0
KVINESDAL,3,0,0,0.0,0.0
KVITESEID,2,0,0,0.0,0.0
KVITNES,2,0,0,0.0,0.0
KVÅS,1,0,0,0.0,0.0
KYRKSÆTERØRA,2,0,0,0.0,0.0
LAKSELV,5,0,0,0.0,0.0
LAKSELVBUKT,1,0,0,0.0,0.0
LAKSEVÅG,19,6,6,0.3157894736842105,0.3157894736842105
LAMPELAND,1,0,0,0.0,0.0
LANGANGEN,1,0,0,0.0,0.0
LANGESUND,1,0,0,0.0,0.0
LANGEVÅG,3,0,0,0.0,0.0
LANGFJORDBOTN,1,0,0,0.0,0.0
LANGHUS,7,0,0,0.0,0.0
LARSNES,2,0,0,0.0,0.0
LARVIK,41,1,3,0.024390243902439025,0.07317073170731707
LAVIK,1,0,0,0.0,0.0
LEIKANGER,7,0,0,0.0,0.0
LEINES,1,0,0,0.0,0.0
LEINESFJORD,4,0,0,0.0,0.0
LEINSTRAND,2,0,1,0.0,0.5
LEIRA I VALDRES,3,0,0,0.0,0.0
LEIRFJORD,1,0,0,0.0,0.0
LEIRSUND,2,0,0,0.0,0.0
LEIRVIK I SOGN,1,0,0,0.0,0.0
LEKNES,21,0,0,0.0,0.0
LEKSVIK,2,0,2,0.0,1.0
LENA,5,0,0,0.0,0.0
LEPSØY,2,0,0,0.0,0.0
LESJA,2,1,1,0.5,0.5
LEVANGER,23,1,2,0.043478260869565216,0.08695652173913043
LIER,11,0,1,0.0,0.09090909090909091
LIERSKOGEN,7,0,2,0.0,0.2857142857142857
LIERSTRANDA,9,0,0,0.0,0.0
LILLEHAMMER,79,9,13,0.11392405063291139,0.16455696202531644
LILLESAND,12,1,1,0.08333333333333333,0.08333333333333333
LILLESTRØM,55,5,6,0.09090909090909091,0.10909090909090909
LIMINGEN,3,0,0,0.0,0.0
LINDESNES,9,0,1,0.0,0.1111111111111111
LINDÅS,2,0,0,0.0,0.0
LODDEFJORD,20,4,9,0.2,0.45
LOEN,1,0,0,0.0,0.0
LOFTHUS,1,0,0,0.0,0.0
LOM,2,1,1,0.5,0.5
LONEVÅG,12,0,4,0.0,0.3333333333333333
LONGYEARBYEN,18,2,6,0.1111111111111111,0.3333333333333333
LOTE,1,0,0,0.0,0.0
LOVUND,6,0,0,0.0,0.0
LUNDAMO,3,0,0,0.0,0.0
LUNDE,5,0,0,0.0,0.0
LURØY,1,0,0,0.0,0.0
LYE,1,0,0,0.0,0.0
LYNGDAL,12,0,0,0.0,0.0
LYNGSEIDET,5,0,0,0.0,0.0
LYSAKER,34,11,21,0.3235294117647059,0.6176470588235294
LÆRDAL,3,0,0,0.0,0.0
LØDINGEN,4,0,0,0.0,0.0
LØKEN,1,0,0,0.0,0.0
LØKKEN VERK,2,0,1,0.0,0.5
LØRENSKOG,87,8,9,0.09195402298850575,0.10344827586206896
LØTEN,6,0,0,0.0,0.0
MALMEFJORDEN,2,1,1,0.5,0.5
MALVIK,4,0,0,0.0,0.0
MANDAL,15,2,3,0.13333333333333333,0.2
MANGER,4,0,0,0.0,0.0
MATHOPEN,1,0,0,0.0,0.0
MAURA,1,0,0,0.0,0.0
MEISTERVIK,1,0,0,0.0,0.0
MELBU,1,0,0,0.0,0.0
MELDAL,2,0,0,0.0,0.0
MELHUS,11,0,0,0.0,0.0
MELSOMVIK,3,0,0,0.0,0.0
MERÅKER,2,0,0,0.0,0.0
MESNALI,1,0,0,0.0,0.0
MINNESUND,1,0,0,0.0,0.0
MJØLKERÅEN,1,0,0,0.0,0.0
MJØNDALEN,9,2,2,0.2222222222222222,0.2222222222222222
MO I RANA,53,3,6,0.05660377358490566,0.11320754716981132
MOELV,2,0,0,0.0,0.0
MOEN,5,0,1,0.0,0.2
MOGREINA,1,0,0,0.0,0.0
MOI,2,0,0,0.0,0.0
MOLDE,66,3,8,0.045454545454545456,0.12121212121212122
MONGSTAD,3,0,0,0.0,0.0
MOSBY,1,0,0,0.0,0.0
MOSJØEN,41,1,3,0.024390243902439025,0.07317073170731707
MOSS,51,0,2,0.0,0.0392156862745098
MOSTERHAMN,2,0,0,0.0,0.0
MYRE,6,0,0,0.0,0.0
MYSEN,16,0,0,0.0,0.0
MÅLØY,4,0,0,0.0,0.0
NAMDALSEID,1,0,0,0.0,0.0
NAMSOS,23,0,0,0.0,0.0
NANNESTAD,8,0,0,0.0,0.0
NARVIK,37,1,1,0.02702702702702703,0.02702702702702703
NEDENES,3,0,0,0.0,0.0
NEDRE VATS,3,1,1,0.3333333333333333,0.3333333333333333
NES PÅ HEDMARKEN,1,0,0,0.0,0.0
NESBRU,13,0,0,0.0,0.0
NESBYEN,3,0,0,0.0,0.0
NESNA,2,0,0,0.0,0.0
NESODDTANGEN,6,1,1,0.16666666666666666,0.16666666666666666
NESTTUN,39,0,2,0.0,0.05128205128205128
NESØYA,2,0,0,0.0,0.0
NEVERDAL,1,0,0,0.0,0.0
NITTEDAL,5,2,2,0.4,0.4
NODELAND,2,0,0,0.0,0.0
NORDFJORDEID,15,0,2,0.0,0.13333333333333333
NORDFOLD,2,0,1,0.0,0.5
NORDKJOSBOTN,2,0,0,0.0,0.0
NORDLI,1,0,0,0.0,0.0
NORESUND,2,0,0,0.0,0.0
NORHEIMSUND,8,0,0,0.0,0.0
NOTODDEN,8,0,0,0.0,0.0
NY-ÅLESUND,1,0,0,0.0,0.0
NYBORG,17,0,0,0.0,0.0
NYKIRKE,1,0,0,0.0,0.0
NÆRBØ,19,2,2,0.10526315789473684,0.10526315789473684
NØTTERØY,22,0,0,0.0,0.0
ODDA,15,2,3,0.13333333333333333,0.2
OLDERDALEN,1,0,0,0.0,0.0
OLSVIK,7,0,0,0.0,0.0
ONARHEIM,2,0,0,0.0,0.0
OPPAKER,1,0,0,0.0,0.0
OPPDAL,9,1,1,0.1111111111111111,0.1111111111111111
OPPEGÅRD,3,0,0,0.0,0.0
ORKANGER,21,0,1,0.0,0.047619047619047616
ORRE,1,1,1,1.0,1.0
OS,21,1,1,0.047619047619047616,0.047619047619047616
OSLO,1855,338,472,0.18221024258760107,0.2544474393530997
OSMARKA,1,0,0,0.0,0.0
OSTEREIDET,1,0,0,0.0,0.0
OTEREN,1,0,0,0.0,0.0
OTTA,10,0,0,0.0,0.0
OTTESTAD,8,0,1,0.0,0.125
OVERHALLA,2,0,0,0.0,0.0
PARADIS,6,0,1,0.0,0.16666666666666666
PORSANGMOEN,1,0,0,0.0,0.0
PORSGRUNN,53,5,12,0.09433962264150944,0.22641509433962265
PRESTFOSS,5,0,0,0.0,0.0
RAKKESTAD,11,1,1,0.09090909090909091,0.09090909090909091
RAMBERG,6,0,0,0.0,0.0
RAMFJORDBOTN,4,0,0,0.0,0.0
RAMNES,1,0,0,0.0,0.0
RAMSUND,8,2,3,0.25,0.375
RANDABERG,16,1,1,0.0625,0.0625
RANHEIM,13,2,2,0.15384615384615385,0.15384615384615385
RASTA,1,0,0,0.0,0.0
RAUFOSS,35,6,8,0.17142857142857143,0.22857142857142856
REINE,1,0,0,0.0,0.0
REINSVOLL,1,0,0,0.0,0.0
RENA,5,1,2,0.2,0.4
RENDALEN,1,0,0,0.0,0.0
RENNEBU,4,0,0,0.0,0.0
RENNESØY,3,0,0,0.0,0.0
REVETAL,1,0,0,0.0,0.0
RIDABU,3,0,0,0.0,0.0
RINDAL,6,0,0,0.0,0.0
RINGEBU,6,0,1,0.0,0.16666666666666666
RISSA,6,1,2,0.16666666666666666,0.3333333333333333
RISØR,3,0,0,0.0,0.0
RISØYHAMN,1,0,0,0.0,0.0
RJUKAN,12,0,0,0.0,0.0
ROA,7,0,0,0.0,0.0
ROGNAN,3,0,0,0.0,0.0
ROLLAG,1,0,0,0.0,0.0
ROLVSØY,12,1,2,0.08333333333333333,0.16666666666666666
RONG,2,0,0,0.0,0.0
ROSENDAL,3,0,0,0.0,0.0
ROVERUD,1,0,0,0.0,0.0
RUD,8,0,0,0.0,0.0
RUDSHØGDA,4,0,0,0.0,0.0
RYFOSS,1,0,0,0.0,0.0
RYGGE,11,3,4,0.2727272727272727,0.36363636363636365
RYKKINN,4,0,0,0.0,0.0
RYPEFJORD,3,0,1,0.0,0.3333333333333333
RÅDAL,27,3,5,0.1111111111111111,0.18518518518518517
RÅDE,7,0,0,0.0,0.0
RÅHOLT,5,0,0,0.0,0.0
RÆLINGEN,5,0,0,0.0,0.0
RØDBERG,2,0,0,0.0,0.0
RØKLAND,3,0,0,0.0,0.0
RØN,2,0,0,0.0,0.0
RØROS,8,0,0,0.0,0.0
RØRVIK,10,0,0,0.0,0.0
RØYKEN,4,0,0,0.0,0.0
RØYNEBERG,3,0,0,0.0,0.0
RØYSE,2,1,1,0.5,0.5
SAGSTUA,8,1,2,0.125,0.25
SAGVÅG,1,0,0,0.0,0.0
SAKSVIK,1,0,0,0.0,0.0
SALHUS,1,0,1,0.0,1.0
SAMUELSBERG,1,0,0,0.0,0.0
SAND,2,0,0,0.0,0.0
SANDANE,6,0,0,0.0,0.0
SANDE I VESTFOLD,9,1,3,0.1111111111111111,0.3333333333333333
SANDEFJORD,57,7,8,0.12280701754385964,0.14035087719298245
SANDEID,3,0,0,0.0,0.0
SANDNES,141,11,19,0.07801418439716312,0.1347517730496454
SANDNESSJØEN,16,0,1,0.0,0.0625
SANDSLI,11,0,1,0.0,0.09090909090909091
SANDSTAD,4,0,0,0.0,0.0
SANDVIKA,43,8,10,0.18604651162790697,0.23255813953488372
SARPSBORG,34,1,1,0.029411764705882353,0.029411764705882353
SAUDA,6,0,0,0.0,0.0
SEKKEN,3,0,0,0.0,0.0
SELBU,1,0,0,0.0,0.0
SELBUSTRAND,3,0,0,0.0,0.0
SELJE,3,0,0,0.0,0.0
SEM,4,1,1,0.25,0.25
SESSVOLLMOEN,3,0,0,0.0,0.0
SILJAN,3,0,0,0.0,0.0
SILSAND,3,0,2,0.0,0.6666666666666666
SIREVÅG,1,0,0,0.0,0.0
SISTRANDA,3,0,0,0.0,0.0
SJETNEMARKA,2,0,0,0.0,0.0
SJØVEGAN,1,0,0,0.0,0.0
SKARNES,7,0,0,0.0,0.0
SKEDSMOKORSET,19,1,2,0.05263157894736842,0.10526315789473684
SKEI I JØLSTER,1,0,0,0.0,0.0
SKI,44,3,3,0.06818181818181818,0.06818181818181818
SKIEN,81,10,13,0.12345679012345678,0.16049382716049382
SKIPTVET,2,0,0,0.0,0.0
SKJEBERG,1,0,0,0.0,0.0
SKJERVØY,1,0,0,0.0,0.0
SKJETTEN,5,0,0,0.0,0.0
SKJOLDEN,1,0,0,0.0,0.0
SKJÅK,5,0,0,0.0,0.0
SKJÆRHALDEN,5,0,0,0.0,0.0
SKODJE,6,0,0,0.0,0.0
SKOGN,3,0,0,0.0,0.0
SKOGSVÅG,5,0,0,0.0,0.0
SKOTSELV,1,0,0,0.0,0.0
SKOTTERUD,3,0,0,0.0,0.0
SKREIA,1,0,0,0.0,0.0
SKUDENESHAVN,2,0,0,0.0,0.0
SKUI,2,2,2,1.0,1.0
SLEMMESTAD,4,0,0,0.0,0.0
SLENESET,1,0,0,0.0,0.0
SLEPENDEN,1,0,0,0.0,0.0
SMØLA,1,1,1,1.0,1.0
SNÅSA,2,0,0,0.0,0.0
SOFIEMYR,5,1,1,0.2,0.2
SOGNDAL,13,1,1,0.07692307692307693,0.07692307692307693
SOKNA,1,0,0,0.0,0.0
SOLA,30,0,1,0.0,0.03333333333333333
SOLBERGELVA,1,0,0,0.0,0.0
SORTLAND,31,2,3,0.06451612903225806,0.0967741935483871
SPARBU,1,0,0,0.0,0.0
SPIKKESTAD,2,0,0,0.0,0.0
SPILLUM,2,0,0,0.0,0.0
SPONVIKA,1,0,0,0.0,0.0
SPYDEBERG,6,0,0,0.0,0.0
STABEKK,3,0,0,0.0,0.0
STADLANDET,2,0,0,0.0,0.0
STADSBYGD,1,0,0,0.0,0.0
STAMSUND,2,0,0,0.0,0.0
STANGE,11,0,0,0.0,0.0
STATHELLE,12,3,3,0.25,0.25
STAVANGER,285,33,58,0.11578947368421053,0.20350877192982456
