conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/a2bc52c2-9802-4929-a95c-6379d9f19204,1321.2.1.5,"driftsjef, ferdigbehandling av lær",0.0571428571428571
Occupation,http://data.europa.eu/esco/occupation/e5257110-e7f1-453a-a2dc-bd374945bc4a,1321.2.1.6.1,"produksjonssjef, lærvarer",0.0408163265306122
Occupation,http://data.europa.eu/esco/occupation/262d4e45-0cf7-4399-be6f-3d5e96826ef2,1321.2.1.6.2,"avdelingsleder, lærbehandling knyttet til våtprosesser",0.0588235294117647
Occupation,http://data.europa.eu/esco/occupation/316309e4-5fce-4dca-85d1-07702217ea19,1321.2.1.6,"produksjonssjef, lærproduksjon",0.054054054054054
Occupation,http://data.europa.eu/esco/occupation/45517bc3-0887-416d-95fe-6ace1b90bddd,1321.2.1.7,"leder, metallurgi",0.04
Occupation,http://data.europa.eu/esco/occupation/0368c4d4-94cf-4168-a84d-283a25880e0d,1321.2.1.8,"produksjonssjef, metallindustri",0.0
Occupation,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,1321.2.1,"produksjonssjef, industri",0.0571428571428571
Occupation,http://data.europa.eu/esco/occupation/02f26b2f-879c-4811-8381-65e8dd3f4a16,1321.2.2.1,"kvalitetsansvarlig, sko",0.0909090909090909
Occupation,http://data.europa.eu/esco/occupation/1f8967ce-9faa-4d56-a656-50e041f7d07e,1321.2.2.2,"kvalitetssjef, lærvarer",0.0625
Occupation,http://data.europa.eu/esco/occupation/652b847f-837a-4a08-bd5e-36397fe56455,1321.2.2.3,"kvalitetsansvarlig, tekstilproduksjon",0.0476190476190476
Occupation,http://data.europa.eu/esco/occupation/fdb16700-109e-4d02-949e-3213f278df93,1321.2.2,"kvalitetssjef, industri",0.0204081632653061
Occupation,http://data.europa.eu/esco/occupation/c6bd511a-d966-4df9-a48e-4f800354f268,1321.2.3,driftsleder,0.125683060109289
Occupation,http://data.europa.eu/esco/occupation/9deee896-be9b-4aac-b55e-ceff1a7a843a,1321.2.4,"anleggsleder, kloakksystem",0.363636363636363
Occupation,http://data.europa.eu/esco/occupation/9a20c93e-a345-4a46-a406-9ffbf11daeef,1321.2.5,leder for avfallshåndtering,0.577777777777777
Occupation,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,1321.2,produksjonssjef,0.172043010752688
Occupation,http://data.europa.eu/esco/occupation/518348e6-0095-4f37-ad46-5ef1b8b5ee2f,1321.3,"driftsleder, tekstilproduksjon",0.037037037037037
ISCO level 4,http://data.europa.eu/esco/isco/C1321,1321,Ledere av industriproduksjon mv.,0.1035121973569099
Occupation,http://data.europa.eu/esco/occupation/df66a6e6-2130-4932-8aaf-263dafa569fa,1322.1.1,"produksjonssjef, gruvedrift",0.032258064516129
Occupation,http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9,1322.1.2,"produksjonssjef, olje- og gassutvinning",0.0512820512820512
Occupation,http://data.europa.eu/esco/occupation/107d21c6-973b-411c-89fd-69da48d29ada,1322.1,gruvesjef,0.0789473684210526
Occupation,http://data.europa.eu/esco/occupation/b156960c-8508-4067-908d-f167847c55b1,1322.2,anleggssjef i steinbrudd,0.0833333333333333
ISCO level 4,http://data.europa.eu/esco/isco/C1322,1322,Ledere av olje- og gassutvinning mv.,0.061455204388141525
Occupation,http://data.europa.eu/esco/occupation/ba3bacd4-73e9-4861-a9c0-f89f1f28055a,1323.1.1,"hovedentreprenør, bygg og anlegg",0.205128205128205
Occupation,http://data.europa.eu/esco/occupation/b9711647-463f-4991-a858-d5de66ff2f83,1323.1.2,eiendomsutvikler,0.0975609756097561
Occupation,http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56,1323.1,byggeleder,0.142857142857142
ISCO level 4,http://data.europa.eu/esco/isco/C1323,1323,Ledere av bygge- og anleggsvirksomhet,0.1485154411983677
Occupation,http://data.europa.eu/esco/occupation/fc35b7ca-ecec-40d7-91b5-5065f662d955,1324.1,lufthavnsjef,0.0344827586206896
Occupation,http://data.europa.eu/esco/occupation/0d442b70-5413-4820-bebf-36dd5ce437ac,1324.2,flygeledersjef,0.037037037037037
Occupation,http://data.europa.eu/esco/occupation/73d3ce3c-296c-4f85-9381-2eed6f3ae5fa,1324.3.1.1,"transportsjef, innlandsfart",0.0555555555555555
Occupation,http://data.europa.eu/esco/occupation/baae6dd1-4a59-480d-83b1-a0708a5a1736,1324.3.1.2,sjøtransportsjef,0.1
Occupation,http://data.europa.eu/esco/occupation/98ad0008-13d9-4e9b-94bf-4f4a5faae764,1324.3.1.3,leder av jernbanedrift,0.0
Occupation,http://data.europa.eu/esco/occupation/4ea620f2-5c75-49ee-85a0-b2fb6bbf3624,1324.3.1.4,veitransportsjef,0.172413793103448
Occupation,http://data.europa.eu/esco/occupation/f56e33a3-01bb-46ba-98f4-d47aa242b983,1324.3.1.5,leder innen veitransport,0.09375
Occupation,http://data.europa.eu/esco/occupation/e04bca7b-c0c7-454d-9d15-dfb64a30dc0a,1324.3.1.6.1,distribusjonssjef innen landbruksmaskiner og -utstyr,0.0
Occupation,http://data.europa.eu/esco/occupation/449f6aef-a8e6-4edc-aea4-802a7b773e00,1324.3.1.6.2,"distribusjonssjef innen landbruksråvarer, frø og dyrefôr",0.0
Occupation,http://data.europa.eu/esco/occupation/e0433bbb-8a93-4ab4-ac7a-84ccc1a04637,1324.3.1.6.3,distribusjonssjef innen drikkevarer,0.0
Occupation,http://data.europa.eu/esco/occupation/87426cf2-9e36-46a4-aa4f-6a8d20dd93d6,1324.3.1.6.4,distribusjonssjef innen kjemiske produkter,0.0
Occupation,http://data.europa.eu/esco/occupation/37f92bd9-b14c-4ab5-82fb-545ba7ba3b8b,1324.3.1.6.5,distribusjonssjef innen porselen og glasstøy,0.0
Occupation,http://data.europa.eu/esco/occupation/625d316c-2b93-4a9c-ada2-b19efa7c611b,1324.3.1.6.6,distribusjonssjef innen klær og sko,0.0
Occupation,http://data.europa.eu/esco/occupation/f8d7d59d-242d-4903-9e0d-d2d23a0ef4c3,1324.3.1.6.7,"distribusjonssjef innen kaffe, te, kakao og krydder",0.0
Occupation,http://data.europa.eu/esco/occupation/243f3b7e-cd7a-419a-94c0-d4f2040f09af,1324.3.1.6.8,"distribusjonssjef innen datamaskiner, datatilbehør og programvare",0.0
Occupation,http://data.europa.eu/esco/occupation/c1ee52e0-f30a-4f8d-a7f5-b07f5f06f88f,1324.3.1.6.9,distribusjonssjef innen meieriprodukter og matoljer,0.0
Occupation,http://data.europa.eu/esco/occupation/de0084a5-7e00-43cc-bc51-3cb70a031295,1324.3.1.6.10,distribusjonssjef innen elektriske husholdningsapparater,0.0
Occupation,http://data.europa.eu/esco/occupation/032d4115-03ec-49c9-853d-678f8a41969b,1324.3.1.6.11,distribusjonssjef innen elektronikk og telekommunikasjonsutstyr,0.0
Occupation,http://data.europa.eu/esco/occupation/2ad52381-6adb-4262-b17c-ea7fcb3b6696,1324.3.1.6.12,"distribusjonssjef innen fisk, skalldyr og bløtdyr",0.0
Occupation,http://data.europa.eu/esco/occupation/23a9e478-d465-4b61-b6d9-97b7e90af17a,1324.3.1.6.13,distribusjonssjef innen blomster og planter,0.0
Occupation,http://data.europa.eu/esco/occupation/73bdadf0-2175-4097-8f4d-b6dabeb0a030,1324.3.1.6.14,distribusjonssjef innen frukt og grønnsaker,0.103448275862068
Occupation,http://data.europa.eu/esco/occupation/bd7c070b-333f-4b9d-a70a-25f135ff931e,1324.3.1.6.15,"distribusjonssjef innen møbler, tepper og belysning",0.0
Occupation,http://data.europa.eu/esco/occupation/d46a0f9d-4474-46f8-b59d-7970da915b94,1324.3.1.6.16,distribusjonssjef innen jernvare- og VVS-utstyr,0.0
