conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,vise initiativ,released,initiere tiltak | være en drivkraft | gi insitament | vise aktivt initiativ | ta initiativ,"Være proaktiv og ta første skritt uten å vente på hva andre sier eller gjør.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,ha en proaktiv tilnærming
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,skill/competence,transversal,bidra til å fremme biologisk mangfold og dyrevelferd,released,tilegne seg bærekraftig matvaner | fremme økologisk og biologisk matforbruk | konkret støtte biologisk mangfold og dyrevelferd | ta hensyn til bærekraftsspørsmål i forbruksvalg | ta hensyn til dyrevelferd ved kjøp av matvarer | implementere miljøvalg i egne matvaner,"Leve på en måte som bidrar til å opprettholde stabile økosystemer og bekjempe masseutryddelse, for eksempel ved å gjøre bevisste kostholdsvalg som støtter økologisk matproduksjon og dyrevelferd
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,bruke miljørelatert kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,skill/competence,transversal,gi råd,released,veilede andre | veileder enkeltpersoner | gi råd til andre,"Komme med forslag til hva som bør gjøres.
  ",http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,støtte andre
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7,skill/competence,transversal,godta kritikk og veiledning,released,håndtere tilbakemeldinger | godta tilbakemeldinger | akseptere kritikere | tolerere kritikere | ta imot konstruktiv kritikk | ønske tilbakemeldinger velkommen | ta imot kritikk,"Håndtere negative tilbakemeldinger fra andre og være åpen for kritikk, og prøve å se hvor det er rom for forbedring.
  ",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,utvise vilje til å lære
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b709c64-a57a-4976-86bd-34d2cf34fa4f,skill/competence,transversal,"anvende kunnskap innen filosofi, etikk og religion",released,"handle i henhold til etiske og religiøse verdier | evaluere de moralske og etiske konsekvensene av handlinger | vurdere konsekvensene og virkningen av ideer, muligheter og handlinger | anvende tekning fra ulike åndsretninger | følge etiske verdier og religiøse overbevisninger","Utvikle et eget perspektiv rundt meningen og hensikten med livet og rollen til den enkelte, herunder hva det betyr å leve, å dø og å være et menneske.
  ",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,anvende generell kunnskap
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,skill/competence,transversal,bidra til redusert forurensning,released,hindre forurensning | velge offentlig transport istedenfor privat | bruke offentlig transport | redusere støy | håndtere sitt eget avfall,"Bidra til å redusere luft-, støy-, lys-, vann- og miljøforurensning, for eksempel ved å bruke offentlig transport, ikke kaste avfall i naturen og redusere unødvendige lys- og støyutslipp, særlig om natten.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,bruke miljørelatert kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,skill/competence,transversal,overholde forpliktelser,released,,"Utføre oppgavene sine på en selvdisiplinert, pålitelig og målrettet måte.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,arbeide effektivt
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13b4a3d2-abdf-4442-8e52-d7464a58ecbc,skill/competence,transversal,tilpasse seg til fysiske krav,released,vise fysisk motstandskraft | tåle ugunstige temperaturer | arbeide under ugunstige værforhold,"Utvise evnen til å tåle høy fysisk belastning i jobb eller idrett. Dette omfatter å sitte på kne, stå eller løpe lenge og arbeide under vanskelige værforhold som sterk varme, kulde eller regn.
  ",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,forholde seg til fysiske omstendigheter
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,skill/competence,transversal,påta seg ansvar,released,vise en samvittighetsfull holdning | vise ansvarlig oppførsel | være klar til å ta ansvar | vise ansvar | bevise ansvarsfølelse,"Akseptere ansvar for faglige beslutninger og handlinger man har tatt selv eller delegert til andre.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,ha en proaktiv tilnærming
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,skill/competence,transversal,vise besluttsomhet,released,vise entusiasme | vise positiv holdning | ha klare mål | strebe etter resultater | gjør en innsats | vise positiv tenkning | være utholdende | strebe etter suksess | vise en fokusert tilnærming,"Vise vilje til å gjøre noe som er vanskelig og som krever hardt arbeid. Vise innsatsvilje drevet av interesse eller glede over å arbeide, i fravær av press utenfra.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,ha en proaktiv tilnærming
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186,skill/competence,transversal,utføre beregninger,released,utføre arbeidsrelaterte beregninger,"Løse matematiske problemer for å nå arbeidsrelaterte målsettinger.
  ",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,arbeide med tall og mål
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d1fedcb-4995-44ac-90f5-f31a157ce512,skill/competence,transversal,håndtere frustrasjon,released,,Holde seg rolig og reagere på en konstruktiv måte på sitt eget eller andres sinne eller i møte med hindringer eller klager.,http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,ha en positiv holdning
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1dabb413-18e8-48ed-a963-44978e67ad32,skill/competence,transversal,beregne sannsynligheter,released,jobbe med sannsynligheter | gjøre estimater | estimere sannsynligheten for et utfall eller faktum,"Forutsi sannsynligheten for et utfall basert på beregninger eller erfaring.
  ",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,arbeide med tall og mål
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ddc021d-d818-4731-904f-842d7491f419,skill/competence,transversal,forvalte økonomiske og materielle ressurser,released,"administrere personlig budsjett for økonomiske behov | bruke kreditt, sparing, investeringer og pensjoner for å nå langsiktige mål | sammenligne tilbud og tilbud ved kjøp av produkter eller tjenester | velge passende forsikringsprodukter | utøve forbrukerrettigheter | gjennomføre effektiv økonomisk planlegging | bruke økonomiske råd og veiledningstjenester med en kritisk innstilling | administrere personlig økonomi","Ha evne til effektiv økonomisk planlegging,  bruke lån, sparing, investering og pensjon til å oppnå kortsiktige og langsiktige mål, gjøre kritisk bruk av økonomisk rådgivning og veiledning, sammenligne avtaler og tilbud ved kjøp av produkter eller tjenester, og aktivt velge egnede forsikringsprodukter.
  ",http://data.europa.eu/esco/skill/6c6957bf-cf1f-4483-9c7e-1655f251b01a,anvende gründer- og økonomikompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1fce1197-3a5b-45b7-8797-575cd3b57a01,skill/competence,transversal,vise engasjement,released,vise entusiasme | ha engasjement | trives med yrket sitt | vise arbeidsvilje | vise motivasjon | trives med å jobbe | vise vilje til å prestere,"Vise vilje til å påta seg oppgaver umiddelbart, selv om de er vanskelige eller ubehagelige.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,ha en proaktiv tilnærming
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20012caa-b63c-4cb9-b2b8-01a1cfdfc1d1,skill/competence,transversal,tenke raskt,released,forstå raskt | være rask i oppfattelsen | reagere raskt,"Kunne forstå og bearbeide de viktigste aspektene ved fakta og sammenhenger raskt og nøyaktig.
  ",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"behandle informasjon, ideer og konsepter"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821,skill/competence,transversal,vurdere miljøvirkningen av personlig atferd,released,innta en miljøvennlig holdning | vurdere virkningen av sine handlinger på miljøet | vise følsomhet for miljøspørsmål | anvende etisk og bærekraftig tenkning | innta en økologisk holdning,"Ha en bærekraftsorientert tankegang i dagliglivet og reflektere over egen holdning til miljøet og miljøvirkningen av egen atferd.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,bruke miljørelatert kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/35ebe444-9ece-4fbc-a55d-e99ea37267ae,skill/competence,transversal,administrere kvalitet,released,,"Strebe etter fremragende kvalitet på prosesser, produkter og aktiviteter på arbeidsplassen.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,arbeide effektivt
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/409a0245-0e6c-4aac-ba16-0920ecb76a8d,skill/competence,transversal,øve på selvrefleksjon,released,reflektere over praksis | utføre egenvurdering | kunne utøve selvrefleksjon,"Reflektere effektivt, regelmessig og systematisk over egne handlinger, prestasjoner og holdninger, og gjøre nødvendige justeringer, samt søke faglige utviklingsmuligheter for å tette kunnskaps- og praksishull på identifiserte områder. Evaluere effekten av din egen faglige utvikling.
	",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,utvise vilje til å lære
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/429062f1-a958-43ea-83dd-4e1af078c156,skill/competence,transversal,vise nysgjerrighet,released,,"Vise en livlig interesse for alt som er nytt, være åpen for nye opplevelser, være fascinert av diverse emner og aktivt utforske og oppdage nye områder.",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,utvise vilje til å lære
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be,skill/competence,transversal,håndtere personlig fremgang,released,administrere karrieremål | planlegge karrieren sin | administrere livsmål | markedsføre seg selv,"Forvalte egne ferdigheter og kompetanse for å ha fremgang i jobb og privatliv.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,ha en proaktiv tilnærming
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/469748ce-051a-407e-9099-0c9415ac2705,skill/competence,transversal,møte utfordringer på en positiv måte,released,ha en positiv holdning | vise sans for humor | ha en konstruktiv tilnærming,"Innta en positiv holdning og være konstruktiv ved håndtering av utfordringer.
  ",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,ha en positiv holdning
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,skill/competence,transversal,tenke analytisk,released,,"Produsere tanker ved å bruke logikk og resonnement til å identifisere styrker og svakheter ved alternative løsninger, konklusjoner eller tilnærminger til problemer.",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"behandle informasjon, ideer og konsepter"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,skill/competence,transversal,tilpasse seg endringer,released,,Endre holdningen eller adferden sin for å tilrettelegge for endringer på arbeidsplassen.,http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,utvise vilje til å lære
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c3ab565-747c-4db3-8c47-79e8d6f98cf4,skill/competence,transversal,bidra til å minske de negative følgene av forbruk,released,følge innsamlingsplaner for gjenvinning | unngå plast | gjenbruke produkter | redusere vann- eller energiforbruk | praktisere en minimalistisk livsstil | dele fysiske ressurser | unngå engangsartikler | minimere avfallsproduksjonen i husholdningene | gjenbruk av materialer | redusere energibruken | følge miljømessig bærekraftig arbeidspraksis | gjenbruke materialer,"Anvende prinsipper, retningslinjer og forskrifter for miljømessig bærekraft, herunder redusere avfall, energi- og vannforbruk, gjenbruke og gjenvinne produkter, og bidra til delingsøkonomien.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,bruke miljørelatert kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c772721-9280-49cb-9988-b6ea3d36b06d,skill/competence,transversal,holde seg i god psykisk form,released,opprettholde balansen mellom arbeid og privatliv | balansere arbeidstid og privatliv | strebe etter mentalt velvære | beskytte det psykologiske velværet | bruke digital teknologi på en trygg måte,"Kunne unngå trusler mot det psykiske velværet, for eksempel ved bruk av digital teknologi, herunder å opprettholde en sunn balanse mellom arbeid og fritid.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,bruke helserelatert kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cde32b5-fc2f-4257-a8b9-5b15a67ee3e5,skill/competence,transversal,beskytte andres helse,released,gi førstehjelp | reagere adekvat ved ulykker | gripe raskt inn ved behov | ivareta andres helse,"Forhindre at familiemedlemmer og andre utsettes for skade, herunder ved å gi førstehjelp ved ulykker, og yte støtte ved rekonvalesens.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,bruke helserelatert kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5b46f572-7ced-4efd-b270-a81a164d521c,skill/competence,transversal,moderere diskusjoner,released,"moderere workshops, konferanser eller arrangementer | bruke moderasjonsteknikker | lede diskusjoner | lede en diskusjon | overvåke en diskusjon | styre diskusjoner | gjennomføre moderering","Bruke modereringsteknikker og -metoder for å lede diskusjoner mellom to eller flere personer, herunder situasjoner som workshops, konferanser eller arrangementer på nett. Sørge for at debatten er korrekt og høflig.
  ",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,kommunisere
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5c3ab99d-a3f1-4620-9602-d12d2151a03d,skill/competence,transversal,"anvende kunnskap innen vitenskap, teknologi og ingeniørfag",released,utføre målinger | demonstrere vitenskapelig kompetanse | ta i bruk ny teknologi | demonstrere tekniske ferdigheter,"Utvikle og anvende viten om den fysiske verden og dens rådende prinsipper, for eksempel ved å fremsette rimelige forutsigelser om årsak og virkning, utarbeide tester for å verifisere disse forutsigelsene og utføre målinger ved bruk av egnede enheter, verktøy og utstyr.
	",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,anvende generell kunnskap
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5c526c52-4f0a-4647-8c51-c91568acebb1,skill/competence,transversal,prosessere spatial informasjon,released,vise tredimensjonal fantasi | jobbe med former og rom | tenke romlig | bruke romlig orientering | behandle romlig informasjon | jobbe med form og rom | demonstrere romlig intelligens | administrere form og rom,"Ha evne til å forestille seg legemers posisjon og forholdet mellom dem i tredimensjonale rom, og utvikle en god sans for proporsjoner.
  ",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,arbeide med tall og mål
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5ca953f7-541d-4f67-bc55-7721348366cf,skill/competence,transversal,respektere mangfoldet av kulturelle verdier og normer,released,demonstrere kunnskap om den flerkulturelle dimensjonen til europeiske samfunn | ta nasjonal kulturell identitet i betraktning | vise følsomhet overfor ulike verdenssyn | støtte kulturelt mangfold | ta hensyn til mangfoldet av kulturelle verdier og normer,"Utvise interkulturell forståelse og respekt for kulturelle verdier og normer. Utvise toleranse og forståelse for andre menneskers  og kulturers verdier og normer, uavhengig av under hvilke omstendigheter, når og hvor de oppsto.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,anvende medborgerkompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5cd1930c-278d-4929-b413-27352f5b3687,skill/competence,transversal,takle usikkerhet,released,håndtere usikkerhet,"Tåle usikkerhet og arbeide konstruktivt i uventede og uforutsigbare situasjoner.
  ",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,ha en positiv holdning
